Code,Borough,year,Offences,Rate,recordedOffences
E09000002,Barking and Dagenham,1999,All recorded offences,120.5,19567
E09000003,Barnet,1999,All recorded offences,98,30708
E09000004,Bexley,1999,All recorded offences,95.1,20680
E09000005,Brent,1999,All recorded offences,127.7,33253
E09000006,Bromley,1999,All recorded offences,89.8,26474
E09000007,Camden,1999,All recorded offences,241,45800
E09000008,Croydon,1999,All recorded offences,113.7,37743
E09000009,Ealing,1999,All recorded offences,128.2,38737
E09000010,Enfield,1999,All recorded offences,104.8,28588
E09000011,Greenwich,1999,All recorded offences,141.4,29991
E09000012,Hackney,1999,All recorded offences,195.9,39007
E09000013,Hammersmith and Fulham,1999,All recorded offences,178,28600
E09000014,Haringey,1999,All recorded offences,155.9,34075
E09000015,Harrow,1999,All recorded offences,80.7,16777
E09000016,Havering,1999,All recorded offences,83.2,18787
E09000017,Hillingdon,1999,All recorded offences,107.2,26281
E09000018,Hounslow,1999,All recorded offences,144.8,31032
E09000019,Islington,1999,All recorded offences,218.7,38427
E09000020,Kensington and Chelsea,1999,All recorded offences,208.4,30779
E09000021,Kingston upon Thames,1999,All recorded offences,100.3,14649
E09000022,Lambeth,1999,All recorded offences,195.7,52212
E09000023,Lewisham,1999,All recorded offences,118.4,29628
E09000024,Merton,1999,All recorded offences,90.8,16812
E09000025,Newham,1999,All recorded offences,159.4,38335
E09000026,Redbridge,1999,All recorded offences,103.2,24578
E09000027,Richmond upon Thames,1999,All recorded offences,89.7,15504
E09000028,Southwark,1999,All recorded offences,176.5,43734
E09000029,Sutton,1999,All recorded offences,80.8,14493
E09000030,Tower Hamlets,1999,All recorded offences,176.1,34071
E09000031,Waltham Forest,1999,All recorded offences,122.3,27035
E09000032,Wandsworth,1999,All recorded offences,134.5,35527
E09000033,Westminster,1999,All recorded offences,463,87615
E09000002,Barking and Dagenham,2000,All recorded offences,123.6,20253
E09000003,Barnet,2000,All recorded offences,95.7,30213
E09000004,Bexley,2000,All recorded offences,96.3,21072
E09000005,Brent,2000,All recorded offences,122.7,32513
E09000006,Bromley,2000,All recorded offences,88.5,26142
E09000007,Camden,2000,All recorded offences,238.5,46778
E09000008,Croydon,2000,All recorded offences,105.4,35221
E09000009,Ealing,2000,All recorded offences,126.7,38572
E09000010,Enfield,2000,All recorded offences,101.9,28019
E09000011,Greenwich,2000,All recorded offences,131.3,28165
E09000012,Hackney,2000,All recorded offences,188,38242
E09000013,Hammersmith and Fulham,2000,All recorded offences,171.8,28236
E09000014,Haringey,2000,All recorded offences,149.2,32799
E09000015,Harrow,2000,All recorded offences,81.4,17031
E09000016,Havering,2000,All recorded offences,87.8,19761
E09000017,Hillingdon,2000,All recorded offences,108.7,26739
E09000018,Hounslow,2000,All recorded offences,135.2,29034
E09000019,Islington,2000,All recorded offences,202.2,35968
E09000020,Kensington and Chelsea,2000,All recorded offences,198.6,30714
E09000021,Kingston upon Thames,2000,All recorded offences,96.8,14265
E09000022,Lambeth,2000,All recorded offences,188.7,50950
E09000023,Lewisham,2000,All recorded offences,110.3,27814
E09000024,Merton,2000,All recorded offences,88,16569
E09000025,Newham,2000,All recorded offences,158,38776
E09000026,Redbridge,2000,All recorded offences,105.2,25226
E09000027,Richmond upon Thames,2000,All recorded offences,84.9,14683
E09000028,Southwark,2000,All recorded offences,160,40447
E09000029,Sutton,2000,All recorded offences,77.2,13938
E09000030,Tower Hamlets,2000,All recorded offences,177.9,35070
E09000031,Waltham Forest,2000,All recorded offences,116.5,25771
E09000032,Wandsworth,2000,All recorded offences,129.8,34756
E09000033,Westminster,2000,All recorded offences,424.4,83379
E09000002,Barking and Dagenham,2001,All recorded offences,124,20538
E09000003,Barnet,2001,All recorded offences,101,32274
E09000004,Bexley,2001,All recorded offences,96.9,21200
E09000005,Brent,2001,All recorded offences,123.4,33276
E09000006,Bromley,2001,All recorded offences,96.7,28638
E09000007,Camden,2001,All recorded offences,262.2,53103
E09000008,Croydon,2001,All recorded offences,111.8,37450
E09000009,Ealing,2001,All recorded offences,127.3,39128
E09000010,Enfield,2001,All recorded offences,106,29401
E09000011,Greenwich,2001,All recorded offences,133.3,28995
E09000012,Hackney,2001,All recorded offences,191.9,39769
E09000013,Hammersmith and Fulham,2001,All recorded offences,174.1,29487
E09000014,Haringey,2001,All recorded offences,170.2,37661
E09000015,Harrow,2001,All recorded offences,86.7,18217
E09000016,Havering,2001,All recorded offences,97.3,21868
E09000017,Hillingdon,2001,All recorded offences,118.4,29074
E09000018,Hounslow,2001,All recorded offences,138.6,29929
E09000019,Islington,2001,All recorded offences,209.7,37611
E09000020,Kensington and Chelsea,2001,All recorded offences,182.5,29605
E09000021,Kingston upon Thames,2001,All recorded offences,92.7,13811
E09000022,Lambeth,2001,All recorded offences,208.8,57092
E09000023,Lewisham,2001,All recorded offences,114.1,29008
E09000024,Merton,2001,All recorded offences,92.9,17747
E09000025,Newham,2001,All recorded offences,162.8,40616
E09000026,Redbridge,2001,All recorded offences,115.8,28001
E09000027,Richmond upon Thames,2001,All recorded offences,92.1,16057
E09000028,Southwark,2001,All recorded offences,178,45707
E09000029,Sutton,2001,All recorded offences,84.6,15359
E09000030,Tower Hamlets,2001,All recorded offences,185.4,37273
E09000031,Waltham Forest,2001,All recorded offences,136.3,30260
E09000032,Wandsworth,2001,All recorded offences,131.4,35717
E09000033,Westminster,2001,All recorded offences,424.3,86270
E09000002,Barking and Dagenham,2002,All recorded offences,122.6,20394
E09000003,Barnet,2002,All recorded offences,107.1,34338
E09000004,Bexley,2002,All recorded offences,90.1,19752
E09000005,Brent,2002,All recorded offences,124.3,33537
E09000006,Bromley,2002,All recorded offences,102.1,30276
E09000007,Camden,2002,All recorded offences,264.2,53890
E09000008,Croydon,2002,All recorded offences,115.1,38618
E09000009,Ealing,2002,All recorded offences,129.8,40147
E09000010,Enfield,2002,All recorded offences,107,30042
E09000011,Greenwich,2002,All recorded offences,140.9,31202
E09000012,Hackney,2002,All recorded offences,186.1,39267
E09000013,Hammersmith and Fulham,2002,All recorded offences,174.4,30003
E09000014,Haringey,2002,All recorded offences,173.8,39017
E09000015,Harrow,2002,All recorded offences,92.2,19573
E09000016,Havering,2002,All recorded offences,95.7,21537
E09000017,Hillingdon,2002,All recorded offences,118.2,29214
E09000018,Hounslow,2002,All recorded offences,151.4,32842
E09000019,Islington,2002,All recorded offences,218.9,39425
E09000020,Kensington and Chelsea,2002,All recorded offences,194.8,31921
E09000021,Kingston upon Thames,2002,All recorded offences,95.8,14330
E09000022,Lambeth,2002,All recorded offences,198.5,54188
E09000023,Lewisham,2002,All recorded offences,113.4,28763
E09000024,Merton,2002,All recorded offences,93.8,17880
E09000025,Newham,2002,All recorded offences,161.2,41157
E09000026,Redbridge,2002,All recorded offences,117.6,28737
E09000027,Richmond upon Thames,2002,All recorded offences,95.8,16814
E09000028,Southwark,2002,All recorded offences,179.3,45960
E09000029,Sutton,2002,All recorded offences,82.7,14987
