GSSCode,year,recordedOffences
E09000002,1999,19567
E09000003,1999,30708
E09000004,1999,20680
E09000005,1999,33253
E09000006,1999,26474
E09000007,1999,45800
E09000008,1999,37743
E09000009,1999,38737
E09000010,1999,28588
E09000011,1999,29991
E09000012,1999,39007
E09000013,1999,28600
E09000014,1999,34075
E09000015,1999,16777
E09000016,1999,18787
E09000017,1999,26281
E09000018,1999,31032
E09000019,1999,38427
E09000020,1999,30779
E09000021,1999,14649
E09000022,1999,52212
E09000023,1999,29628
E09000024,1999,16812
E09000025,1999,38335
E09000026,1999,24578
E09000027,1999,15504
E09000028,1999,43734
E09000029,1999,14493
E09000030,1999,34071
E09000031,1999,27035
E09000032,1999,35527
E09000033,1999,87615
E09000002,2000,20253
E09000003,2000,30213
E09000004,2000,21072
E09000005,2000,32513
E09000006,2000,26142
E09000007,2000,46778
E09000008,2000,35221
E09000009,2000,38572
E09000010,2000,28019
E09000011,2000,28165
E09000012,2000,38242
E09000013,2000,28236
E09000014,2000,32799
E09000015,2000,17031
E09000016,2000,19761
E09000017,2000,26739
E09000018,2000,29034
E09000019,2000,35968
E09000020,2000,30714
E09000021,2000,14265
E09000022,2000,50950
E09000023,2000,27814
E09000024,2000,16569
E09000025,2000,38776
E09000026,2000,25226
E09000027,2000,14683
E09000028,2000,40447
E09000029,2000,13938
E09000030,2000,35070
E09000031,2000,25771
E09000032,2000,34756
E09000033,2000,83379
E09000002,2001,20538
E09000003,2001,32274
E09000004,2001,21200
E09000005,2001,33276
E09000006,2001,28638
E09000007,2001,53103
E09000008,2001,37450
E09000009,2001,39128
E09000010,2001,29401
E09000011,2001,28995
E09000012,2001,39769
E09000013,2001,29487
E09000014,2001,37661
E09000015,2001,18217
E09000016,2001,21868
E09000017,2001,29074
E09000018,2001,29929
E09000019,2001,37611
E09000020,2001,29605
E09000021,2001,13811
E09000022,2001,57092
E09000023,2001,29008
E09000024,2001,17747
E09000025,2001,40616
E09000026,2001,28001
E09000027,2001,16057
E09000028,2001,45707
E09000029,2001,15359
E09000030,2001,37273
E09000031,2001,30260
E09000032,2001,35717
E09000033,2001,86270
E09000002,2002,20394
E09000003,2002,34338
E09000004,2002,19752
E09000005,2002,33537
E09000006,2002,30276
E09000007,2002,53890
E09000008,2002,38618
E09000009,2002,40147
E09000010,2002,30042
E09000011,2002,31202
E09000012,2002,39267
E09000013,2002,30003
E09000014,2002,39017
E09000015,2002,19573
E09000016,2002,21537
E09000017,2002,29214
E09000018,2002,32842
E09000019,2002,39425
E09000020,2002,31921
E09000021,2002,14330
E09000022,2002,54188
E09000023,2002,28763
E09000024,2002,17880
E09000025,2002,41157
E09000026,2002,28737
E09000027,2002,16814
E09000028,2002,45960
E09000029,2002,14987
E09000030,2002,41124
E09000031,2002,32264
E09000032,2002,36204
E09000033,2002,86151
E09000002,2003,22144
E09000003,2003,36288
E09000004,2003,20344
E09000005,2003,35837
E09000006,2003,30918
E09000007,2003,51016
E09000008,2003,37043
E09000009,2003,37927
E09000010,2003,29998
E09000011,2003,31347
E09000012,2003,39035
E09000013,2003,28650
E09000014,2003,36807
E09000015,2003,18430
E09000016,2003,22165
E09000017,2003,29349
E09000018,2003,30416
E09000019,2003,40816
E09000020,2003,29873
E09000021,2003,16309
E09000022,2003,49937
E09000023,2003,31577
E09000024,2003,18738
E09000025,2003,40615
E09000026,2003,28438
E09000027,2003,15446
E09000028,2003,46276
E09000029,2003,16154
E09000030,2003,39188
E09000031,2003,30912
E09000032,2003,33567
E09000033,2003,79296
E09000002,2004,21442
E09000003,2004,37887
E09000004,2004,18859
E09000005,2004,35582
E09000006,2004,30761
E09000007,2004,45432
E09000008,2004,35004
E09000009,2004,36418
E09000010,2004,28131
E09000011,2004,31186
E09000012,2004,36492
E09000013,2004,27139
E09000014,2004,35553
E09000015,2004,18107
E09000016,2004,21431
E09000017,2004,27800
E09000018,2004,27908
E09000019,2004,37956
E09000020,2004,26812
E09000021,2004,15690
E09000022,2004,45784
E09000023,2004,34833
E09000024,2004,17281
E09000025,2004,36460
E09000026,2004,26173
E09000027,2004,15320
E09000028,2004,43771
E09000029,2004,16942
E09000030,2004,36329
E09000031,2004,29491
E09000032,2004,31641
E09000033,2004,79338
E09000002,2005,22062
E09000003,2005,34871
E09000004,2005,20011
E09000005,2005,35140
E09000006,2005,30793
E09000007,2005,42236
E09000008,2005,34859
E09000009,2005,37295
E09000010,2005,27473
E09000011,2005,31354
E09000012,2005,34630
E09000013,2005,25861
E09000014,2005,35367
E09000015,2005,17481
E09000016,2005,21772
E09000017,2005,28377
E09000018,2005,27233
E09000019,2005,37050
E09000020,2005,24731
E09000021,2005,15141
E09000022,2005,41968
E09000023,2005,33387
E09000024,2005,17299
E09000025,2005,39020
E09000026,2005,24679
E09000027,2005,14891
E09000028,2005,41432
E09000029,2005,16077
E09000030,2005,33756
E09000031,2005,30143
E09000032,2005,30130
E09000033,2005,71582
E09000002,2006,21384
E09000003,2006,29920
E09000004,2006,16997
E09000005,2006,30474
E09000006,2006,28424
E09000007,2006,42435
E09000008,2006,31510
E09000009,2006,36734
E09000010,2006,27058
E09000011,2006,29829
E09000012,2006,31160
E09000013,2006,25334
E09000014,2006,30595
E09000015,2006,15837
E09000016,2006,19997
E09000017,2006,28144
E09000018,2006,24485
E09000019,2006,35248
E09000020,2006,24328
E09000021,2006,13105
E09000022,2006,38868
E09000023,2006,32150
E09000024,2006,16078
E09000025,2006,35597
E09000026,2006,24646
E09000027,2006,13408
E09000028,2006,39713
